epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.947,0.39063,1.78824,1.05316,0.94772,0.63318,0.68623,0.64766,0.28621,1.11102,0.29003,0.000412809,0.000412809,0.000412809
2,2536.63,0.25775,0.81051,0.9843,0.95632,0.93582,0.95032,0.91866,0.36626,0.71388,0.33058,0.000802103,0.000802103,0.000802103
3,2733.25,0.25401,0.6714,0.97293,0.67041,0.85344,0.8561,0.67763,0.36541,1.41452,0.34689,0.0011639,0.0011639,0.0011639
4,2927.52,0.23422,0.55586,0.9514,0.86181,0.86928,0.93712,0.91099,0.3332,0.98006,0.31033,0.00112625,0.00112625,0.00112625
5,3121.49,0.22563,0.51846,0.96099,0.95421,0.893,0.93855,0.88831,0.34719,0.68158,0.30851,0.001085,0.001085,0.001085
6,3317.52,0.20566,0.45633,0.95034,0.9436,0.97086,0.96297,0.93751,0.3584,0.50059,0.31201,0.00104375,0.00104375,0.00104375
7,3514.06,0.19169,0.43736,0.94845,0.90181,0.91518,0.95544,0.92641,0.26895,0.54725,0.25415,0.0010025,0.0010025,0.0010025
8,3710.05,0.18314,0.41103,0.94217,0.90731,0.95767,0.95931,0.92754,0.31171,0.43478,0.28184,0.00096125,0.00096125,0.00096125
9,3905.46,0.18493,0.41038,0.9455,0.95623,0.97652,0.97562,0.95241,0.27578,0.51977,0.2733,0.00092,0.00092,0.00092
10,4101.47,0.17145,0.36946,0.94014,0.95357,0.97098,0.97207,0.94857,0.33719,0.49696,0.29685,0.00087875,0.00087875,0.00087875
11,4305,0.17373,0.35652,0.94241,0.95682,0.97275,0.96673,0.93979,0.27266,0.43949,0.25746,0.0008375,0.0008375,0.0008375
12,4502.43,0.17615,0.35097,0.94466,0.91034,0.93947,0.96387,0.9303,0.38759,0.65077,0.2964,0.00079625,0.00079625,0.00079625
13,4712,0.16583,0.33242,0.944,0.96964,0.97164,0.96993,0.94542,0.26228,0.32058,0.23961,0.000755,0.000755,0.000755
14,4912.03,0.15788,0.33816,0.93874,0.96858,0.93927,0.96531,0.94428,0.2569,0.36301,0.2528,0.00071375,0.00071375,0.00071375
15,5097.4,0.15619,0.31753,0.93837,0.94851,0.94167,0.97401,0.95858,0.28319,0.43123,0.26895,0.0006725,0.0006725,0.0006725
16,5286.26,0.15013,0.29815,0.93818,0.97133,0.97577,0.97466,0.95724,0.30405,0.34758,0.25709,0.00063125,0.00063125,0.00063125
17,5473.41,0.14133,0.28732,0.93393,0.96835,0.96844,0.97213,0.95329,0.29791,0.36664,0.25746,0.00059,0.00059,0.00059
18,5672.45,0.14405,0.28778,0.9304,0.95557,0.96261,0.95781,0.94101,0.30204,0.45505,0.25044,0.00054875,0.00054875,0.00054875
19,5876.55,0.14125,0.27525,0.93027,0.96016,0.97142,0.97226,0.95259,0.29124,0.36255,0.25655,0.0005075,0.0005075,0.0005075
20,6073.44,0.12655,0.27702,0.92739,0.97259,0.96907,0.97638,0.95869,0.30425,0.36513,0.249,0.00046625,0.00046625,0.00046625
21,6267.36,0.12565,0.22451,0.95971,0.96626,0.97551,0.97235,0.95559,0.26294,0.52671,0.23935,0.000425,0.000425,0.000425
22,6460.58,0.12121,0.15651,0.96038,0.95716,0.97011,0.97064,0.93183,0.30003,0.39971,0.25518,0.00038375,0.00038375,0.00038375
23,6654.28,0.11207,0.145,0.95907,0.95929,0.97969,0.97605,0.95657,0.315,0.40791,0.26503,0.0003425,0.0003425,0.0003425
24,6848.21,0.10738,0.11688,0.9584,0.97512,0.98203,0.97725,0.92941,0.29986,0.42177,0.24168,0.00030125,0.00030125,0.00030125
25,7044.34,0.10298,0.10846,0.96324,0.97992,0.98364,0.97752,0.94862,0.3268,0.39512,0.26869,0.00026,0.00026,0.00026
26,7244.34,0.09992,0.10464,0.951,0.98115,0.9837,0.97747,0.93985,0.28826,0.46972,0.23064,0.00021875,0.00021875,0.00021875
27,7439.76,0.09768,0.09575,0.95465,0.97911,0.98412,0.98059,0.92494,0.28861,0.47894,0.22487,0.0001775,0.0001775,0.0001775
28,7639.43,0.09043,0.0864,0.9461,0.97606,0.97337,0.97907,0.92142,0.30413,0.37942,0.22837,0.00013625,0.00013625,0.00013625
29,7845.75,0.08689,0.08621,0.94097,0.96939,0.98401,0.97981,0.92943,0.28906,0.39342,0.22255,9.5e-05,9.5e-05,9.5e-05
30,8055.52,0.08501,0.08023,0.94678,0.98161,0.98014,0.98137,0.93175,0.30323,0.39648,0.22325,5.375e-05,5.375e-05,5.375e-05
